id,ticker,date,open,high,low,close,adj_close,volume
4486,AMZN,2023-10-13,132.9800,133.3100,128.9500,129.7900,129.7900,45786600
4487,AMZN,2023-10-16,130.6900,133.0700,130.4300,132.5500,132.5500,42832900
4488,AMZN,2023-10-17,130.3900,132.5800,128.7100,131.4700,131.4700,49344600
4489,AMZN,2023-10-18,129.9000,130.6700,127.5100,128.1300,128.1300,42699500
4490,AMZN,2023-10-19,130.5700,132.2400,127.4700,128.4000,128.4000,60961400
4491,AMZN,2023-10-20,128.0500,128.1700,124.9700,125.1700,125.1700,56406400
4492,AMZN,2023-10-23,124.6300,127.8800,123.9800,126.5600,126.5600,48260000
4493,AMZN,2023-10-24,127.7400,128.8000,126.3400,128.5600,128.5600,46477400
4494,AMZN,2023-10-25,126.0400,126.3400,120.7900,121.3900,121.3900,74577500
4495,AMZN,2023-10-26,120.6300,121.6400,118.3500,119.5700,119.5700,100419500
4496,AMZN,2023-10-27,126.2000,130.0200,125.5200,127.7400,127.7400,125309300
4497,AMZN,2023-10-30,129.7200,133.0000,128.5600,132.7100,132.7100,72485500
4498,AMZN,2023-10-31,132.7500,133.5700,131.7100,133.0900,133.0900,51589400
4499,AMZN,2023-11-01,133.9600,137.3500,133.7100,137.0000,137.0000,61529400
4500,AMZN,2023-11-02,138.7300,138.8100,136.4700,138.0700,138.0700,52236700
4501,AMZN,2023-11-03,138.9900,139.4900,137.4500,138.6000,138.6000,44059800
4502,AMZN,2023-11-06,138.7600,140.7300,138.3600,139.7400,139.7400,44970400
4503,AMZN,2023-11-07,140.5500,143.3700,140.5000,142.7100,142.7100,53553500
4504,AMZN,2023-11-08,142.9700,143.1200,141.2200,142.0800,142.0800,44521700
4505,AMZN,2023-11-09,142.0200,142.6500,139.8400,140.6000,140.6000,36235400
4506,AMZN,2023-11-10,140.4600,143.6500,139.9100,143.5600,143.5600,49287800
4507,AMZN,2023-11-13,142.0800,143.2300,140.6700,142.5900,142.5900,35680600
4508,AMZN,2023-11-14,145.0000,147.2600,144.6800,145.8000,145.8000,56674600
4509,AMZN,2023-11-15,147.0600,147.2900,142.5900,143.2000,143.2000,63875700
4510,AMZN,2023-11-16,140.9100,143.3200,139.5200,142.8300,142.8300,49653500
4511,AMZN,2023-11-17,142.6600,145.2300,142.5400,145.1800,145.1800,49636700
4512,AMZN,2023-11-20,145.1300,146.6300,144.7300,146.1300,146.1300,41951200
4513,AMZN,2023-11-21,143.9100,144.0500,141.5000,143.9000,143.9000,71226000
4514,AMZN,2023-11-22,144.5700,147.7400,144.5700,146.7100,146.7100,45669100
4515,AMZN,2023-11-24,146.7000,147.2000,145.3200,146.7400,146.7400,22378400
4516,AMZN,2023-11-27,147.5300,149.2600,146.8800,147.7300,147.7300,53762400
4517,AMZN,2023-11-28,146.9800,147.6000,145.5300,147.0300,147.0300,42711700
4518,AMZN,2023-11-29,147.8500,148.5400,145.9700,146.3200,146.3200,40610900
4519,AMZN,2023-11-30,144.7600,146.9300,144.3300,146.0900,146.0900,65814000
4520,AMZN,2023-12-01,146.0000,147.2500,145.5500,147.0300,147.0300,39951800
4521,AMZN,2023-12-04,145.2500,145.3500,142.8100,144.8400,144.8400,48294200
4522,AMZN,2023-12-05,143.5500,148.5700,143.1300,146.8800,146.8800,46822400
4523,AMZN,2023-12-06,147.5800,147.8500,144.2800,144.5200,144.5200,39679000
4524,AMZN,2023-12-07,146.1500,147.9200,145.3400,146.8800,146.8800,52352800
4525,AMZN,2023-12-08,145.4800,147.8400,145.4000,147.4200,147.4200,41906000
4526,AMZN,2023-12-11,145.6600,146.1900,143.6400,145.8900,145.8900,50907300
4527,AMZN,2023-12-12,145.5200,147.5000,145.3000,147.4800,147.4800,44944300
4528,AMZN,2023-12-13,148.1200,149.4600,146.8200,148.8400,148.8400,52766200
4529,AMZN,2023-12-14,149.9300,150.5400,145.5200,147.4200,147.4200,58400800
4530,AMZN,2023-12-15,148.3800,150.5700,147.8800,149.9700,149.9700,110089300
4531,AMZN,2023-12-18,150.5600,154.8500,150.0500,154.0700,154.0700,62512800
4532,AMZN,2023-12-19,154.4000,155.1200,152.6900,153.7900,153.7900,43171300
4533,AMZN,2023-12-20,152.9000,155.6300,151.5600,152.1200,152.1200,50322100
4534,AMZN,2023-12-21,153.3000,153.9700,152.1000,153.8400,153.8400,36305700
4535,AMZN,2023-12-22,153.7700,154.3500,152.7100,153.4200,153.4200,29514100
4536,AMZN,2023-12-26,153.5600,153.9800,153.0300,153.4100,153.4100,25067200
4537,AMZN,2023-12-27,153.5600,154.7800,153.1200,153.3400,153.3400,31434700
4538,AMZN,2023-12-28,153.7200,154.0800,152.9500,153.3800,153.3800,27057000
4539,AMZN,2023-12-29,153.1000,153.8900,151.0300,151.9400,151.9400,39823200
4540,AMZN,2024-01-02,151.5400,152.3800,148.3900,149.9300,149.9300,47339400
4541,AMZN,2024-01-03,149.2000,151.0500,148.3300,148.4700,148.4700,49425500
4542,AMZN,2024-01-04,145.5900,147.3800,144.0500,144.5700,144.5700,56039800
4543,AMZN,2024-01-05,144.6900,146.5900,144.5300,145.2400,145.2400,45153100
4544,AMZN,2024-01-08,146.7400,149.4000,146.1500,149.1000,149.1000,46757100
4545,AMZN,2024-01-09,148.3300,151.7100,148.2100,151.3700,151.3700,43812600
4546,AMZN,2024-01-10,152.0600,154.4200,151.8800,153.7300,153.7300,44421800
4547,AMZN,2024-01-11,155.0400,157.1700,153.1200,155.1800,155.1800,49072700
4548,AMZN,2024-01-12,155.3900,156.2000,154.0100,154.6200,154.6200,40484200
4549,AMZN,2024-01-16,153.5300,154.9900,152.1500,153.1600,153.1600,41384600
4550,AMZN,2024-01-17,151.4900,152.1500,149.9100,151.7100,151.7100,34953400
4551,AMZN,2024-01-18,152.7700,153.7800,151.8200,153.5000,153.5000,37850200
4552,AMZN,2024-01-19,153.8300,155.7600,152.7400,155.3400,155.3400,51651600
4553,AMZN,2024-01-22,156.8900,157.0500,153.9000,154.7800,154.7800,43687500
4554,AMZN,2024-01-23,154.8500,156.2100,153.9300,156.0200,156.0200,37986000
4555,AMZN,2024-01-24,157.8000,158.5100,156.4800,156.8700,156.8700,48547300
4556,AMZN,2024-01-25,156.9500,158.5100,154.5500,157.7500,157.7500,43638600
4557,AMZN,2024-01-26,158.4200,160.7200,157.9100,159.1200,159.1200,51047400
4558,AMZN,2024-01-29,159.3400,161.2900,158.9000,161.2600,161.2600,45270400
4559,AMZN,2024-01-30,160.7000,161.7300,158.4900,159.0000,159.0000,45207400
4560,AMZN,2024-01-31,157.0000,159.0100,154.8100,155.2000,155.2000,50284400
4561,AMZN,2024-02-01,155.8700,159.7600,155.6200,159.2800,159.2800,76542400
4562,AMZN,2024-02-02,169.1900,172.5000,167.3300,171.8100,171.8100,117218300
4563,AMZN,2024-02-05,170.2000,170.5500,167.7000,170.3100,170.3100,55081300
4564,AMZN,2024-02-06,169.3900,170.7100,167.6500,169.1500,169.1500,42505500
4565,AMZN,2024-02-07,169.4800,170.8800,168.9400,170.5300,170.5300,47174100
4566,AMZN,2024-02-08,169.6500,171.4300,168.8800,169.8400,169.8400,42316500
4567,AMZN,2024-02-09,170.9000,175.0000,170.5800,174.4500,174.4500,56986000
4568,AMZN,2024-02-12,174.8000,175.3900,171.5400,172.3400,172.3400,51050400
4569,AMZN,2024-02-13,167.7300,170.9500,165.7500,168.6400,168.6400,56345100
4570,AMZN,2024-02-14,169.2100,171.2100,168.2800,170.9800,170.9800,42815500
4571,AMZN,2024-02-15,170.5800,171.1700,167.5900,169.8000,169.8000,49855200
4572,AMZN,2024-02-16,168.7400,170.4200,167.1700,169.5100,169.5100,48107700
4573,AMZN,2024-02-20,167.8300,168.7100,165.7400,167.0800,167.0800,41980300
4574,AMZN,2024-02-21,168.9400,170.2300,167.1400,168.5900,168.5900,44420100
4575,AMZN,2024-02-22,173.1000,174.8000,171.7700,174.5800,174.5800,55392400
4576,AMZN,2024-02-23,174.2800,175.7500,173.7000,174.9900,174.9900,59715200
4577,AMZN,2024-02-26,175.7000,176.3700,174.2600,174.7300,174.7300,44368600
4578,AMZN,2024-02-27,174.0800,174.6200,172.8600,173.5400,173.5400,31141700
4579,AMZN,2024-02-28,172.4400,174.0500,172.2700,173.1600,173.1600,28180500
4580,AMZN,2024-02-29,173.0100,177.2200,172.8500,176.7600,176.7600,53805400
4581,AMZN,2024-03-01,176.7500,178.7300,176.0700,178.2200,178.2200,31981200
4582,AMZN,2024-03-04,177.5300,180.1400,177.4900,177.5800,177.5800,37381500
4583,AMZN,2024-03-05,176.9300,176.9300,173.3000,174.1200,174.1200,37228300
4584,AMZN,2024-03-06,175.5400,176.4600,173.2600,173.5100,173.5100,32090900
4585,AMZN,2024-03-07,174.8300,177.9900,173.7200,176.8200,176.8200,34063300
4586,AMZN,2024-03-08,176.4400,178.7900,174.3300,175.3500,175.3500,37893200
4587,AMZN,2024-03-11,174.3100,174.4700,171.4700,171.9600,171.9600,28484800
4588,AMZN,2024-03-12,173.5000,176.7600,171.9800,175.3900,175.3900,36610600
4589,AMZN,2024-03-13,175.9000,177.6200,175.5500,176.5600,176.5600,30772600
4590,AMZN,2024-03-14,177.6900,179.5300,176.4700,178.7500,178.7500,43705800
4591,AMZN,2024-03-15,176.6400,177.9300,173.9000,174.4200,174.4200,72147400
4592,AMZN,2024-03-18,175.8000,176.6900,174.2800,174.4800,174.4800,31250700
4593,AMZN,2024-03-19,174.2200,176.0900,173.5200,175.9000,175.9000,26880900
4594,AMZN,2024-03-20,176.1400,178.5300,174.6400,178.1500,178.1500,29947200
4595,AMZN,2024-03-21,179.9900,181.4200,178.1500,178.1500,178.1500,32824300
4596,AMZN,2024-03-22,177.7500,179.2600,176.7500,178.8700,178.8700,27995400
4597,AMZN,2024-03-25,178.0100,180.9900,177.2400,179.7100,179.7100,29815500
4598,AMZN,2024-03-26,180.1500,180.4500,177.9500,178.3000,178.3000,29659000
4599,AMZN,2024-03-27,179.8800,180.0000,177.3100,179.8300,179.8300,33272600
4600,AMZN,2024-03-28,180.1700,181.7000,179.2600,180.3800,180.3800,38051600
4601,AMZN,2024-04-01,180.7900,183.0000,179.9500,180.9700,180.9700,29174500
4602,AMZN,2024-04-02,179.0700,180.7900,178.3800,180.6900,180.6900,32611500
4603,AMZN,2024-04-03,179.9000,182.8700,179.8000,182.4100,182.4100,31046600
4604,AMZN,2024-04-04,184.0000,185.1000,180.0000,180.0000,180.0000,41624300
4605,AMZN,2024-04-05,182.3800,186.2700,181.9700,185.0700,185.0700,42374000
4606,AMZN,2024-04-08,186.9000,187.2900,184.8100,185.1900,185.1900,39221300
4607,AMZN,2024-04-09,187.2400,187.3400,184.2000,185.6700,185.6700,36520100
4608,AMZN,2024-04-10,182.7700,186.2700,182.6700,185.9500,185.9500,35879200
4609,AMZN,2024-04-11,186.7400,189.7700,185.5100,189.0500,189.0500,40020700
4610,AMZN,2024-04-12,187.7200,188.3800,185.0800,186.1300,186.1300,38608800
4611,AMZN,2024-04-15,187.4300,188.6900,183.0000,183.6200,183.6200,48052400
4612,AMZN,2024-04-16,183.2700,184.8300,182.2600,183.3200,183.3200,32891300
