ticker,report_date,period,revenue,cogs,gross_profit,opex,operating_income_ebit,ebt,net_income,ebitda,basic_eps,diluted_eps,total_assets,current_assets,cash_and_equivalents,accounts_receivable,inventory,non_current_assets,total_liabilities,current_liabilities,accounts_payable,short_term_debt,long_term_debt,total_equity,common_stock,retained_earnings,current_ratio,quick_ratio,cash_ratio,debt_to_equity,debt_ratio,interest_coverage_ratio,roa,roe,gross_margin,net_margin,asset_turnover,inventory_turnover,receivables_turnover
HD,2023-01-31,12M,157403000000.0,104625000000.0,52778000000.0,0,24039000000.0,22477000000.0,17105000000.0,27069000000.0,16.74,16.69,76445000000.0,32471000000.0,2757000000.0,0,24886000000.0,43974000000.0,74883000000.0,23110000000.0,11443000000.0,1231000000.0,41962000000.0,1562000000.0,90000000.0,76896000000.0,1.4050627434011251,0.328212894850714,0.11929900475984423,47.9404609475032,0.9795670089606907,14.866419294990724,0.2237556413107463,10.950704225352112,0.3353049179494673,0.10867010158637383,2.059035908169272,4.204171019850518,
HD,2022-01-31,12M,151157000000.0,100325000000.0,50832000000.0,0,23040000000.0,21737000000.0,16433000000.0,25946000000.0,15.59,15.53,71876000000.0,29055000000.0,2343000000.0,0,22068000000.0,42821000000.0,73572000000.0,28693000000.0,13462000000.0,3482000000.0,36604000000.0,-1696000000.0,90000000.0,67580000000.0,1.012616317568745,0.2435088697591747,0.08165754713693235,-43.37971698113208,1.0235961934442652,17.104677060133632,0.2286298625410429,-9.689268867924529,0.3362861131141793,0.1087147799969568,2.103024653570037,4.546175457676274,
HD,2021-01-31,12M,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
MA,2024-12-31,12M,28167000000.0,6673000000.0,21494000000.0,0,16327000000.0,15254000000.0,12874000000.0,16797000000.0,13.91,13.89,48081000000.0,19724000000.0,8442000000.0,0,,28357000000.0,41566000000.0,19220000000.0,929000000.0,750000000.0,17476000000.0,6485000000.0,0.0,72907000000.0,1.026222684703434,,0.4392299687825182,6.409560524286816,0.8644994904432104,25.273993808049536,0.26775649424928766,1.9851966075558982,0.7630915610466148,0.4570596797671033,0.5858239221314032,,
MA,2023-12-31,12M,25098000000.0,6022000000.0,19076000000.0,0,14630000000.0,13639000000.0,11195000000.0,15013000000.0,11.86,11.83,42448000000.0,18961000000.0,8588000000.0,0,,23487000000.0,35451000000.0,16264000000.0,834000000.0,1337000000.0,14344000000.0,6929000000.0,0.0,62564000000.0,1.1658263649778653,,0.5280373831775701,5.1163227016885555,0.8351630229928383,25.443478260869565,0.2637344515642669,1.6156732573242891,0.7600605625946291,0.44605147820543467,0.5912646061062947,,
MA,2022-12-31,12M,22237000000.0,5263000000.0,16974000000.0,0,12722000000.0,11732000000.0,9930000000.0,12953000000.0,10.26,10.22,38724000000.0,16606000000.0,7008000000.0,0,,22118000000.0,32347000000.0,14171000000.0,926000000.0,274000000.0,13749000000.0,6298000000.0,0.0,53607000000.0,1.1718297932397148,,0.4945310846094136,5.136074944426802,0.8353217642805495,27.010615711252655,0.25643012085528355,1.5766910130200062,0.7633223906102442,0.4465530422269191,0.5742433632889165,,
MA,2021-12-31,12M,18884000000.0,4489000000.0,14395000000.0,0,10227000000.0,10307000000.0,8687000000.0,11464000000.0,8.79,8.76,37669000000.0,16949000000.0,7421000000.0,0,,20720000000.0,30257000000.0,13162000000.0,738000000.0,792000000.0,13109000000.0,7312000000.0,0.0,45648000000.0,1.2877222306640328,,0.5638200881325026,4.137992341356674,0.8032334280177335,23.728538283062644,0.23061403275903264,1.18804704595186,0.7622855327261173,0.4600190637576785,0.5013140778889803,,
DIS,2025-09-30,12M,94425000000.0,58766000000.0,35659000000.0,0,13832000000.0,12003000000.0,12404000000.0,19141000000.0,6.88,6.85,197514000000.0,24267000000.0,5695000000.0,0,2134000000.0,173247000000.0,82902000000.0,34162000000.0,15055000000.0,6711000000.0,35315000000.0,109869000000.0,59814000000.0,60410000000.0,0.7103506820443768,0.6478836133715825,0.1667056963877993,0.7545531496600497,0.41972720921048634,7.63355408388521,0.06280061160221553,0.11289808772265152,0.3776436325125761,0.1313635160180037,0.4780673775023543,27.53795688847235,
DIS,2024-09-30,12M,91361000000.0,58698000000.0,32663000000.0,0,11914000000.0,7569000000.0,4972000000.0,14629000000.0,2.72,2.72,196219000000.0,25241000000.0,6002000000.0,0,2022000000.0,170978000000.0,90697000000.0,34599000000.0,14796000000.0,6845000000.0,38970000000.0,100696000000.0,58592000000.0,49722000000.0,0.7295297551952369,0.6710887597907454,0.1734732217694153,0.9007011202033844,0.46222333209322236,5.7555555555555555,0.025339034446205517,0.04937634066894415,0.3575157890128173,0.054421470868313615,0.46560730612224094,29.02967359050445,
DIS,2023-09-30,12M,88898000000.0,59201000000.0,29697000000.0,0,8992000000.0,4769000000.0,2354000000.0,12111000000.0,1.29,1.29,205579000000.0,32763000000.0,14182000000.0,0,1963000000.0,172816000000.0,92567000000.0,31139000000.0,15125000000.0,4330000000.0,42101000000.0,99277000000.0,57383000000.0,46093000000.0,1.0521532483380969,0.989113330550114,0.45544172902148433,0.9324113339444181,0.4502745903034843,4.5575266092245315,0.011450585906148001,0.02371143366540085,0.33405700915656145,0.02647978582195325,0.4324274366545221,30.15843097300051,
